,url,league_name,team_name
0,241,Spain Primera Division ,FC Barcelona
1,11,English Premier League ,Manchester United
2,5,English Premier League ,Chelsea
3,243,Spain Primera Division ,Real Madrid
4,1,English Premier League ,Arsenal
5,9,English Premier League ,Liverpool
6,22,German 1. Bundesliga ,Borussia Dortmund
7,21,German 1. Bundesliga ,FC Bayern München
8,10,English Premier League ,Manchester City
9,73,French Ligue 1 ,Paris Saint-Germain
11,240,Spain Primera Division ,Atlético Madrid
13,44,Italian Serie A ,Inter
14,47,Italian Serie A ,Milan
15,45,Italian Serie A ,Juventus
16,18,English Premier League ,Tottenham Hotspur
17,112172,German 1. Bundesliga ,RB Leipzig
18,1943,English Premier League ,Bournemouth
19,48,Italian Serie A ,Napoli
20,7,English Premier League ,Everton
21,32,German 1. Bundesliga ,Bayer 04 Leverkusen
22,52,Italian Serie A ,Roma
23,34,German 1. Bundesliga ,FC Schalke 04
24,95,English Premier League ,Leicester City
25,461,Spain Primera Division ,Valencia CF
26,110,English Premier League ,Wolverhampton Wanderers
27,66,French Ligue 1 ,Olympique de Marseille
28,19,English Premier League ,West Ham United
29,110374,Italian Serie A ,Fiorentina
31,1792,English Premier League ,Norwich City
32,449,Spain Primera Division ,Real Betis
33,1824,German 1. Bundesliga ,Eintracht Frankfurt
34,38,German 1. Bundesliga ,SV Werder Bremen
36,481,Spain Primera Division ,Sevilla FC
37,69,French Ligue 1 ,AS Monaco
38,219,French Ligue 1 ,Olympique de Marseille
39,2,English Premier League ,Aston Villa
40,13,English Premier League ,Newcastle United
43,74,French Ligue 1 ,Stade Rennais FC
45,65,French Ligue 1 ,LOSC Lille
46,17,English Premier League ,Southampton
47,39,Italian Serie A ,Atalanta
48,23,German 1. Bundesliga ,Borussia Mönchengladbach
49,50,Italian Serie A ,Parma
50,457,Spain Primera Division ,Real Sociedad
53,10029,German 1. Bundesliga ,TSG 1899 Hoffenheim
54,175,German 1. Bundesliga ,VfL Wolfsburg
56,190,Italian Serie A ,Brescia
57,448,Spain Primera Division ,Athletic Club de Bilbao
59,1799,English Premier League ,Crystal Palace
60,1795,English Premier League ,Watford
61,166,German 1. Bundesliga ,Hertha BSC
63,46,Italian Serie A ,Lazio
64,1794,English Premier League ,Sheffield United
67,1842,Italian Serie A ,Cagliari
71,72,French Ligue 1 ,OGC Nice
75,483,Spain Primera Division ,Villarreal CF
77,31,German 1. Bundesliga ,1. FC Köln
80,1808,English Premier League ,Brighton & Hove Albion
82,452,Spain Primera Division ,RCD Espanyol
83,169,German 1. Bundesliga ,1. FSV Mainz 05
85,450,Spain Primera Division ,RC Celta
86,25,German 1. Bundesliga ,SC Freiburg
87,110556,Italian Serie A ,Genoa
89,462,Spain Primera Division ,Real Valladolid CF
94,453,Spain Primera Division ,RCD Mallorca
97,1819,French Ligue 1 ,AS Saint-Étienne
98,1796,English Premier League ,Burnley
99,110636,German 1. Bundesliga ,Fortuna Düsseldorf
101,189,Italian Serie A ,Bologna
103,71,French Ligue 1 ,FC Nantes
107,54,Italian Serie A ,Torino
110,59,French Ligue 1 ,FC Girondins de Bordeaux
111,100409,German 1. Bundesliga ,FC Augsburg
116,1860,Spain Primera Division ,Getafe CF
123,1831,German 1. Bundesliga ,1. FC Union Berlin
127,55,Italian Serie A ,Udinese
135,1837,Italian Serie A ,Sampdoria
136,76,French Ligue 1 ,RC Strasbourg Alsace
146,111974,Italian Serie A ,Sassuolo
149,70,French Ligue 1 ,Montpellier HSC
153,1853,Spain Primera Division ,Levante UD
154,479,Spain Primera Division ,CA Osasuna
156,1809,French Ligue 1 ,Toulouse Football Club
169,463,Spain Primera Division ,Deportivo Alavés
178,347,Italian Serie A ,Lecce
180,100888,Spain Primera Division ,CD Leganés
185,10030,German 1. Bundesliga ,SC Paderborn 07
194,110832,Spain Primera Division ,Granada CF
195,206,Italian Serie A ,Hellas Verona
197,224,French Ligue 1 ,Nîmes Olympique
205,467,Spain Primera Division ,SD Eibar
222,379,French Ligue 1 ,Stade Malherbe Caen
223,1530,French Ligue 1 ,Angers SCO
226,112791,Italian Serie A ,SPAL
231,110569,French Ligue 1 ,Dijon FCO
232,68,French Ligue 1 ,FC Metz
247,378,French Ligue 1 ,Stade Brestois 29
260,1816,French Ligue 1 ,Amiens SC
